Date,Title,Source,Keyword
2024-09-10,Aysenur Ezgi Eyg: Israel says 'highly likely' IDF killed US-Turkish protester - BBC,BBC News,central bank Turkey
2023-02-18,Nigeria's naira shortage: Why are Nigerians protesting? - BBC,BBC News,central bank Turkey
2024-10-24,Brothers open Turkish eatery in former bank in March - BBC,BBC News,central bank Turkey
2022-06-13,Sudan alarm at return of Bashir loyalists and the NCP - BBC,BBC News,central bank Turkey
2020-08-29,Tito Mboweni: South Africa's finance minster known for a Twitter roast chicken fail - BBC,BBC News,central bank Turkey
2023-10-13,China's Belt and Road Initiative: Kenya and a railway to nowhere - BBC,BBC News,central bank Turkey
2023-01-02,"Third of world in recession this year, IMF head warns - BBC",BBC News,central bank Turkey
2021-12-02,Why Turkey's currency crash does not worry Erdogan - BBC,BBC News,inflation Turkey
2022-02-05,Can tourism ease the inflation pressure in Turkey? - BBC,BBC News,inflation Turkey
2023-07-14,Turkey's deepening economic crisis prompts Erdogan to look West - BBC,BBC News,inflation Turkey
2024-12-16,Christmas dinner set to cost less at the supermarket this year - BBC,BBC News,inflation Turkey
2022-07-04,Prices in Turkey rise at fastest pace for 24 years - BBC,BBC News,inflation Turkey
2022-10-03,Inflation in Turkey surges to 83% - BBC,BBC News,inflation Turkey
2021-11-23,Turkish lira nose-dives 15% as president defies critics - BBC,BBC News,inflation Turkey
2022-05-05,Turkey's cost of living soars nearly 70% - BBC,BBC News,inflation Turkey
2021-12-16,Turkey cuts interest rates despite spiralling inflation - BBC,BBC News,inflation Turkey
2023-11-23,Turkey's central bank raises interest rates to 40% - BBC,BBC News,inflation Turkey
2023-05-25,Turkish elections: Erdogan and Kilicdaroglu offer stark choices for presidency - BBC,BBC News,inflation Turkey
2023-06-22,Turkey hikes interest rates as Erdogan stages economic U-turn - BBC,BBC News,inflation Turkey
2019-07-06,Turkey's Erdogan fires central bank chief Murat Cetinkaya - BBC,BBC News,inflation Turkey
2021-03-22,Turkish lira falls 15% after bank governor sacked - BBC,BBC News,inflation Turkey
2023-05-14,Turkey decides on future with or without Erdogan - BBC,BBC News,inflation Turkey
2020-10-27,Turkish lira sinks amid Erdogan fury with allies - BBC,BBC News,inflation Turkey
2021-12-21,Turkish lira in comeback after new plan unveiled - BBC,BBC News,inflation Turkey
2023-05-23,Turkish elections: Simple guide to Erdogan's fight to stay in power - BBC,BBC News,inflation Turkey
2023-05-28,Turkey presidential election decides if Erdogan should have five more years - BBC,BBC News,inflation Turkey
2019-01-15,Turkey: Could the US damage its economy? - BBC,BBC News,inflation Turkey
2023-05-29,Turkish election victory for Erdogan leaves nation divided - BBC,BBC News,inflation Turkey
2022-06-03,Ukraine lifts interest rate to highest in Europe - BBC,BBC News,inflation Turkey
2024-12-22,Kent turkey farmer fears for industry's future - BBC,BBC News,inflation Turkey
2021-11-02,Why Syrians face deportation from Turkey over banana jokes - BBC,BBC News,inflation Turkey
2023-05-14,Turkey election 2023: Erdogan faces second round in race for presidency - BBC,BBC News,inflation Turkey
2024-01-11,Oil prices rise after Iran seizes tanker - BBC,BBC News,inflation Turkey
2023-05-10,Turkey elections: Young voters who could decide Turkey's future - BBC,BBC News,inflation Turkey
2022-06-02,Turkey wants to be called Türkiye in rebranding move - BBC,BBC News,inflation Turkey
2023-06-28,"Package holidays in Greece, Spain and Turkey soar in price - BBC",BBC News,inflation Turkey
2023-05-11,Muharrem Ince: Turkish candidate dramatically pulls out before election - BBC,BBC News,inflation Turkey
2024-12-10,Turkey's 3m Syrian refugees face big decision on going home or staying - BBC,BBC News,inflation Turkey
2023-12-20,How much will your Christmas dinner cost this year? - BBC,BBC News,inflation Turkey
2023-05-13,Turkey election: Opposition dares to dream of Erdogan defeat - BBC,BBC News,inflation Turkey
2021-11-14,"No turkey shortage, says British Poultry Council - BBC",BBC News,inflation Turkey
2023-05-15,Turkey's presidential race to be decided in run-off - BBC,BBC News,inflation Turkey
2023-05-08,Turkey elections: Aftershocks of anger and grief in the quake-hit nation - BBC,BBC News,inflation Turkey
2019-02-04,Venezuela: All you need to know about the crisis in nine charts - BBC,BBC News,inflation Turkey
2023-08-09,UK signs deal with Turkey to disrupt people-smuggling gangs - BBC,BBC News,inflation Turkey
2024-04-01,Turkish local elections: Opposition stuns Erdogan with historic victory - BBC,BBC News,inflation Turkey
2023-02-10,Turkey earthquake failures leave Erdogan looking vulnerable - BBC,BBC News,inflation Turkey
2023-09-08,"Thodex cryptocurrency boss jailed for 11,196 years in Turkey for fraud - BBC",BBC News,inflation Turkey
2024-04-10,US inflation jumps as fuel and housing costs rise - BBC,BBC News,inflation Turkey
2019-04-02,Turkey election: Erdogan disputes results in major cities - BBC,BBC News,inflation Turkey
2021-03-25,Turkey Erdogan: Women rise up over withdrawal from Istanbul Convention - BBC,BBC News,inflation Turkey
2023-08-16,Syria doubles public-sector pay and cuts subsidies as economy sinks - BBC,BBC News,inflation Turkey
2019-03-27,Why Erdogan's big Turkish ambitions could come tumbling down - BBC,BBC News,inflation Turkey
2023-05-25,Turkey election: What five more years of Erdogan would mean - BBC,BBC News,inflation Turkey
2019-03-20,Christchurch shootings: Why Turkey's Erdogan uses attack video - BBC,BBC News,inflation Turkey
2023-05-02,Why has the Syrian war lasted 12 years? - BBC,BBC News,inflation Turkey
2023-04-25,Turkish mass arrests target Kurdish areas ahead of election - BBC,BBC News,inflation Turkey
2024-07-05,Turkey's stray dogs face euthanasia under possible government bill - BBC,BBC News,inflation Turkey
2019-06-21,Istanbul vote re-run: Ambitious mayor takes on Erdogan's man - BBC,BBC News,inflation Turkey
2023-05-03,Turkey election: Erdogan rival Kilicdaroglu promises freedom and democracy - BBC,BBC News,inflation Turkey
2022-12-23,New CalMac ferries for Western Isles to be built in Turkey - BBC,BBC News,inflation Turkey
2023-04-29,Turkey's President Erdogan back on campaign trail after illness - BBC,BBC News,inflation Turkey
2024-07-29,Nigeria’s inflation and insecurity fuelling child hunger in North - BBC,BBC News,inflation Turkey
2024-05-21,"Food price rises returning to normal, Kantar survey says - BBC",BBC News,inflation Turkey
2022-12-03,Christmas dinner: How much will it cost this year? - BBC,BBC News,inflation Turkey
2023-05-28,Turkey elections 2023: Erdogan wins five more years as Turkey's president - BBC,BBC News,inflation Turkey
2019-05-07,Istanbul re-run is a risky strategy for Erdogan - BBC,BBC News,inflation Turkey
2021-02-24,Jamal Khashoggi: All you need to know about Saudi journalist's death - BBC,BBC News,inflation Turkey
2023-05-15,Erdogan leads as Turkey heads for election run-off - BBC,BBC News,inflation Turkey
2023-12-20,Food and fuel drive drop in UK inflation rate to 3.9% - BBC,BBC News,inflation Turkey
2022-01-11,How the soaring cost of living is hitting Sri Lankans hard - BBC,BBC News,inflation Turkey
2024-12-18,UK inflation rate – will prices keep rising? - BBC,BBC News,inflation Turkey
2019-12-09,Six charts that show how hard US sanctions have hit Iran - BBC,BBC News,inflation Turkey
2023-11-14,Weak currencies force up cost of living in Sub-Saharan Africa - BBC,BBC News,inflation Turkey
2024-08-23,"Jerome Powell: Time has come for interest rate cut, says Fed boss - BBC",BBC News,inflation Turkey
2023-10-27,Going undercover to reveal people smugglers' sales tactics - BBC,BBC News,inflation Turkey
2024-11-20,Will Labour’s plan to smash the asylum gangs really work? - BBC,BBC News,inflation Turkey
2019-04-22,Iran oil: US to end sanctions exemptions for major importers - BBC,BBC News,inflation Turkey
2023-03-11,Turkey earthquake: Istanbul residents fear homes will collapse - BBC,BBC News,Turkey protests
2020-08-18,Man killed during protests in Turkey - BBC,BBC News,Turkey protests
2021-12-02,Why Turkey's currency crash does not worry Erdogan - BBC,BBC News,Turkey protests
2022-06-22,Saudi crown prince visits Turkey for first time since Khashoggi murder - BBC,BBC News,Turkey protests
2023-03-17,Turkey's Erdogan seals deal on Finland joining Nato - BBC,BBC News,Turkey protests
2021-04-07,Turkey coup: Top officers given life terms in mass trial - BBC,BBC News,Turkey protests
2024-10-21,Fethullah Gulen: Turkish cleric accused of planning 2016 attempted coup dies - BBC,BBC News,Turkey protests
2023-06-29,Sweden Quran burning: Protesters storm embassy in Baghdad - BBC,BBC News,Turkey protests
2023-01-05,Turkey freezes pro-Kurdish party funds before vote - BBC,BBC News,Turkey protests
2024-02-02,Turkey Israel: 'Seven arrested for passing information to Mossad' - BBC,BBC News,Turkey protests
2024-04-01,Turkish local elections: Opposition stuns Erdogan with historic victory - BBC,BBC News,Turkey protests
2024-05-29,Oldham: Mum faces £50k medical bill over insurance error - BBC,BBC News,Turkey protests
2023-05-10,Turkey elections: Young voters who could decide Turkey's future - BBC,BBC News,Turkey protests
2024-04-04,Turkey reinstates pro-Kurdish election winner Zeydan after days of unrest in Van - BBC,BBC News,Turkey protests
2024-01-26,US approves F-16 fighter jet sale to Turkey worth $23bn - BBC,BBC News,Turkey protests
2023-12-12,Turkish referee attack leaves crisis that goes beyond football - BBC,BBC News,Turkey protests
2021-10-23,Turkey moves to throw out US envoy and nine others - BBC,BBC News,Turkey protests
2022-04-25,Osman Kavala: Turkish activist sentenced to life in prison - BBC,BBC News,Turkey protests
2023-05-27,Turkish election: Erdogan and Kemal Kilicdaroglu clash in final push for votes - BBC,BBC News,Turkey protests
2022-12-14,Istanbul Mayor Imamoglu faces jail for insulting public officials - BBC,BBC News,Turkey protests
2024-10-24,Turkey strikes Kurdish sites after attack kills five near Ankara - BBC,BBC News,Turkey protests
2023-04-29,Turkey's President Erdogan back on campaign trail after illness - BBC,BBC News,Turkey protests
2021-12-21,Turkish lira in comeback after new plan unveiled - BBC,BBC News,Turkey protests
2020-09-01,Turkey detains top Islamic State commander in raid - BBC,BBC News,Turkey protests
2023-02-09,Turkey-Syria earthquake: Londoners pull together as relatives stranded - BBC,BBC News,Turkey protests
2024-04-02,Dozens dead in Istanbul nightclub fire - BBC,BBC News,Turkey protests
2019-06-24,Ekrem Imamoglu - BBC,BBC News,Turkey protests
2023-03-08,International Women's Day: Istanbul women defy ban on protests - BBC,BBC News,Turkey protests
2024-02-01,Hostages freed after being held for nine hours at P&G plant in Turkey - BBC,BBC News,Turkey protests
2023-01-29,Erdogan says Turkey may block Sweden's Nato membership bid - BBC,BBC News,Turkey protests
2023-05-03,Turkey election: Erdogan rival Kilicdaroglu promises freedom and democracy - BBC,BBC News,Turkey protests
2023-05-25,Turkey election: What five more years of Erdogan would mean - BBC,BBC News,Turkey protests
2021-02-02,Turkey's Erdogan denounces LGBT youth as police arrest students - BBC,BBC News,Turkey protests
2023-10-05,Nottinghamshire PC sacked after lying about sickness to go to Turkey - BBC,BBC News,Turkey protests
2023-05-24,Turkish elections: Anti-immigrant leader endorses Erdogan challenger - BBC,BBC News,Turkey protests
2021-12-21,Turkish lira in comeback after new plan unveiled - BBC,BBC News,interest rate Turkey
2021-11-23,Turkish lira nose-dives 15% as president defies critics - BBC,BBC News,interest rate Turkey
2021-12-16,Turkey cuts interest rates despite spiralling inflation - BBC,BBC News,interest rate Turkey
2023-11-23,Turkey's central bank raises interest rates to 40% - BBC,BBC News,interest rate Turkey
2023-06-22,Turkey hikes interest rates as Erdogan stages economic U-turn - BBC,BBC News,interest rate Turkey
2021-03-22,Turkish lira falls 15% after bank governor sacked - BBC,BBC News,interest rate Turkey
2022-10-03,Inflation in Turkey surges to 83% - BBC,BBC News,interest rate Turkey
2022-05-05,Turkey's cost of living soars nearly 70% - BBC,BBC News,interest rate Turkey
2019-07-06,Turkey's Erdogan fires central bank chief Murat Cetinkaya - BBC,BBC News,interest rate Turkey
2021-12-02,Why Turkey's currency crash does not worry Erdogan - BBC,BBC News,interest rate Turkey
2022-07-04,Prices in Turkey rise at fastest pace for 24 years - BBC,BBC News,interest rate Turkey
2022-02-05,Can tourism ease the inflation pressure in Turkey? - BBC,BBC News,interest rate Turkey
2022-06-03,Ukraine lifts interest rate to highest in Europe - BBC,BBC News,interest rate Turkey
2020-10-27,Turkish lira sinks amid Erdogan fury with allies - BBC,BBC News,interest rate Turkey
2024-08-23,"Jerome Powell: Time has come for interest rate cut, says Fed boss - BBC",BBC News,interest rate Turkey
2023-04-19,Turkish elections 2023 - BBC,BBC News,interest rate Turkey
2023-05-11,Muharrem Ince: Turkish candidate dramatically pulls out before election - BBC,BBC News,interest rate Turkey
2023-05-10,Turkey elections: Young voters who could decide Turkey's future - BBC,BBC News,interest rate Turkey
2023-05-13,Turkey election: Opposition dares to dream of Erdogan defeat - BBC,BBC News,interest rate Turkey
2024-12-16,Christmas dinner set to cost less at the supermarket this year - BBC,BBC News,interest rate Turkey
2024-04-10,US inflation jumps as fuel and housing costs rise - BBC,BBC News,interest rate Turkey
2023-07-14,Turkey's deepening economic crisis prompts Erdogan to look West - BBC,BBC News,interest rate Turkey
2023-05-29,Turkish election victory for Erdogan leaves nation divided - BBC,BBC News,interest rate Turkey
2024-04-01,Turkish local elections: Opposition stuns Erdogan with historic victory - BBC,BBC News,interest rate Turkey
2023-05-25,Turkish elections: Erdogan and Kilicdaroglu offer stark choices for presidency - BBC,BBC News,interest rate Turkey
2021-03-25,Turkey Erdogan: Women rise up over withdrawal from Istanbul Convention - BBC,BBC News,interest rate Turkey
2023-05-28,Turkey presidential election decides if Erdogan should have five more years - BBC,BBC News,interest rate Turkey
2024-05-21,"Food price rises returning to normal, Kantar survey says - BBC",BBC News,interest rate Turkey
2024-12-18,UK inflation rate – will prices keep rising? - BBC,BBC News,interest rate Turkey
2023-05-23,Turkish elections: Simple guide to Erdogan's fight to stay in power - BBC,BBC News,interest rate Turkey
2023-08-14,Ukraine war: Kyiv claims gains near Bakhmut as Russian currency continues slide - BBC,BBC News,interest rate Turkey
2023-08-14,Russian rouble falls to 16-month low against US dollar - BBC,BBC News,interest rate Turkey
2022-12-03,Christmas dinner: How much will it cost this year? - BBC,BBC News,interest rate Turkey
2023-05-14,Turkey decides on future with or without Erdogan - BBC,BBC News,interest rate Turkey
2023-11-20,Brazilian butt-lift surgery death prompts Turkey-UK meeting - BBC,BBC News,interest rate Turkey
2024-01-11,Oil prices rise after Iran seizes tanker - BBC,BBC News,interest rate Turkey
2023-01-02,"Third of world in recession this year, IMF head warns - BBC",BBC News,interest rate Turkey
2023-01-10,Global recession warning as World Bank cuts economic forecast - BBC,BBC News,interest rate Turkey
2023-03-20,Warnings against 'reckless' weight loss surgery abroad - BBC,BBC News,interest rate Turkey
2023-12-20,Food and fuel drive drop in UK inflation rate to 3.9% - BBC,BBC News,interest rate Turkey
2024-01-12,UK economic growth rebounds in November - BBC,BBC News,interest rate Turkey
2024-12-19,"Putin says he should have launched full Ukraine invasion earlier, as he holds marathon live event - BBC",BBC News,interest rate Turkey
2024-10-04,How worried should I be about rising oil prices? - BBC,BBC News,interest rate Turkey
2022-10-24,Rishi Sunak: The most urgent problems facing the new prime minister - BBC,BBC News,interest rate Turkey
2023-08-14,China suspends youth unemployment data after record high - BBC,BBC News,interest rate Turkey
2024-02-25,Will global energy prices fall this year? - BBC,BBC News,interest rate Turkey
2021-05-17,"UK plastic waste being dumped and burned in Turkey, says Greenpeace - BBC",BBC News,interest rate Turkey
2022-07-15,Coronavirus: China economy shrinks on zero-Covid policy - BBC,BBC News,interest rate Turkey
2021-12-02,Why Turkey's currency crash does not worry Erdogan - BBC,BBC News,currency crisis Turkey
2021-11-23,Turkish lira nose-dives 15% as president defies critics - BBC,BBC News,currency crisis Turkey
2021-12-16,Turkey cuts interest rates despite spiralling inflation - BBC,BBC News,currency crisis Turkey
2023-11-23,Turkey's central bank raises interest rates to 40% - BBC,BBC News,currency crisis Turkey
2021-03-22,Turkish lira falls 15% after bank governor sacked - BBC,BBC News,currency crisis Turkey
2022-02-05,Can tourism ease the inflation pressure in Turkey? - BBC,BBC News,currency crisis Turkey
2021-12-21,Turkish lira in comeback after new plan unveiled - BBC,BBC News,currency crisis Turkey
2023-07-14,Turkey's deepening economic crisis prompts Erdogan to look West - BBC,BBC News,currency crisis Turkey
2022-05-05,Turkey's cost of living soars nearly 70% - BBC,BBC News,currency crisis Turkey
2022-10-03,Inflation in Turkey surges to 83% - BBC,BBC News,currency crisis Turkey
2023-06-22,Turkey hikes interest rates as Erdogan stages economic U-turn - BBC,BBC News,currency crisis Turkey
2023-11-14,Weak currencies force up cost of living in Sub-Saharan Africa - BBC,BBC News,currency crisis Turkey
2019-07-06,Turkey's Erdogan fires central bank chief Murat Cetinkaya - BBC,BBC News,currency crisis Turkey
2020-01-12,Migrant crisis: Eight children die as boat sinks off Turkey - BBC,BBC News,currency crisis Turkey
2019-02-04,Venezuela: All you need to know about the crisis in nine charts - BBC,BBC News,currency crisis Turkey
2022-06-02,Turkey wants to be called Türkiye in rebranding move - BBC,BBC News,currency crisis Turkey
2019-04-01,Turkey local elections: Setback for Erdogan in big cities - BBC,BBC News,currency crisis Turkey
2020-02-28,Syria war: Refugees eye Europe as Turkey hits breaking point - BBC,BBC News,currency crisis Turkey
2023-05-28,Turkey presidential election decides if Erdogan should have five more years - BBC,BBC News,currency crisis Turkey
2019-02-02,Turkey warned over Venezuela gold trade - BBC,BBC News,currency crisis Turkey
2019-10-17,Turkey's Erdogan 'threw Trump's Syria letter in bin' - BBC,BBC News,currency crisis Turkey
2019-03-27,Why Erdogan's big Turkish ambitions could come tumbling down - BBC,BBC News,currency crisis Turkey
2023-05-27,Turkish election: Erdogan and Kemal Kilicdaroglu clash in final push for votes - BBC,BBC News,currency crisis Turkey
2019-12-26,Migrant crisis: Seven die as boat sinks in Turkey's Lake Van - BBC,BBC News,currency crisis Turkey
2023-08-09,UK signs deal with Turkey to disrupt people-smuggling gangs - BBC,BBC News,currency crisis Turkey
2022-10-17,Cyprus profile - Timeline - BBC,BBC News,currency crisis Turkey
2021-11-02,Taliban bans foreign currencies in Afghanistan - BBC,BBC News,currency crisis Turkey
2023-06-28,Greece country profile - BBC,BBC News,currency crisis Turkey
